bydel,grunnkrets,east_west
ward030101,grunnkrets03012801,east
ward030101,grunnkrets03012802,east
ward030101,grunnkrets03012805,east
ward030101,grunnkrets03013515,east
ward030101,grunnkrets03013516,east
ward030101,grunnkrets03013517,east
ward030101,grunnkrets03013513,east
ward030101,grunnkrets03013514,east
ward030101,grunnkrets03012902,east
ward030101,grunnkrets03012903,east
ward030101,grunnkrets03013001,east
ward030101,grunnkrets03015701,east
ward030101,grunnkrets03012401,east
ward030101,grunnkrets03012507,east
ward030101,grunnkrets03012508,east
ward030101,grunnkrets03012509,east
ward030101,grunnkrets03012502,east
ward030101,grunnkrets03012503,east
ward030101,grunnkrets03012504,east
ward030101,grunnkrets03012505,east
ward030101,grunnkrets03012506,east
ward030101,grunnkrets03012601,east
ward030101,grunnkrets03012605,east
ward030101,grunnkrets03012803,east
ward030101,grunnkrets03012804,east
ward030101,grunnkrets03012408,east
ward030101,grunnkrets03012409,east
ward030101,grunnkrets03012602,east
ward030101,grunnkrets03012604,east
ward030101,grunnkrets03012606,east
ward030101,grunnkrets03012603,east
ward030101,grunnkrets03012607,east
ward030101,grunnkrets03012608,east
ward030101,grunnkrets03012609,east
ward030101,grunnkrets03012610,east
ward030101,grunnkrets03012701,east
ward030101,grunnkrets03012702,east
ward030101,grunnkrets03012703,east
ward030101,grunnkrets03012704,east
ward030101,grunnkrets03012705,east
ward030101,grunnkrets03012706,east
ward030101,grunnkrets03014211,east
ward030101,grunnkrets03014212,east
ward030101,grunnkrets03014213,east
ward030101,grunnkrets03014214,east
ward030101,grunnkrets03014202,east
ward030101,grunnkrets03014203,east
ward030101,grunnkrets03014204,east
ward030101,grunnkrets03014210,east
ward030102,grunnkrets03010207,west
ward030102,grunnkrets03010210,west
ward030102,grunnkrets03011305,west
ward030102,grunnkrets03012301,west
ward030102,grunnkrets03012302,west
ward030102,grunnkrets03012303,west
ward030102,grunnkrets03012304,west
ward030102,grunnkrets03012305,west
ward030102,grunnkrets03012306,west
ward030102,grunnkrets03012311,west
ward030102,grunnkrets03012312,west
ward030102,grunnkrets03012007,west
ward030102,grunnkrets03012008,west
ward030102,grunnkrets03012202,west
ward030102,grunnkrets03012313,west
ward030102,grunnkrets03012201,west
ward030102,grunnkrets03012203,west
ward030102,grunnkrets03012204,west
ward030102,grunnkrets03012205,west
ward030102,grunnkrets03012206,west
ward030102,grunnkrets03012207,west
ward030102,grunnkrets03012208,west
ward030102,grunnkrets03012101,west
ward030102,grunnkrets03012103,west
ward030102,grunnkrets03012104,west
ward030102,grunnkrets03012105,west
ward030102,grunnkrets03012106,west
ward030102,grunnkrets03012107,west
ward030102,grunnkrets03012108,west
ward030102,grunnkrets03012109,west
ward030102,grunnkrets03012209,west
ward030102,grunnkrets03012307,west
ward030102,grunnkrets03012308,west
ward030102,grunnkrets03012309,west
ward030102,grunnkrets03012310,west
ward030102,grunnkrets03012402,west
ward030102,grunnkrets03012403,west
ward030102,grunnkrets03012404,west
ward030102,grunnkrets03012405,west
ward030102,grunnkrets03012406,west
ward030102,grunnkrets03012407,west
ward030102,grunnkrets03012410,west
ward030102,grunnkrets03014308,west
ward030102,grunnkrets03014309,west
ward030102,grunnkrets03014310,west
ward030102,grunnkrets03014311,west
ward030102,grunnkrets03014312,west
ward030102,grunnkrets03014306,west
ward030102,grunnkrets03014304,west
ward030102,grunnkrets03014313,west
ward030102,grunnkrets03014314,west
ward030102,grunnkrets03014315,west
ward030103,grunnkrets03011404,west
ward030103,grunnkrets03011405,west
ward030103,grunnkrets03011406,west
ward030103,grunnkrets03012001,west
ward030103,grunnkrets03012002,west
ward030103,grunnkrets03011601,west
ward030103,grunnkrets03011602,west
ward030103,grunnkrets03011603,west
ward030103,grunnkrets03011604,west
ward030103,grunnkrets03011605,west
ward030103,grunnkrets03011606,west
ward030103,grunnkrets03011607,west
ward030103,grunnkrets03011701,west
ward030103,grunnkrets03011702,west
ward030103,grunnkrets03011703,west
ward030103,grunnkrets03011704,west
ward030103,grunnkrets03011705,west
ward030103,grunnkrets03011706,west
ward030103,grunnkrets03011707,west
ward030103,grunnkrets03011708,west
ward030103,grunnkrets03011801,west
ward030103,grunnkrets03011803,west
ward030103,grunnkrets03011804,west
ward030103,grunnkrets03011903,west
ward030103,grunnkrets03011904,west
ward030103,grunnkrets03011905,west
ward030103,grunnkrets03011906,west
ward030103,grunnkrets03011909,west
ward030103,grunnkrets03011910,west
ward030103,grunnkrets03011901,west
ward030103,grunnkrets03011902,west
ward030103,grunnkrets03011907,west
ward030103,grunnkrets03011908,west
ward030103,grunnkrets03012003,west
ward030103,grunnkrets03012004,west
ward030103,grunnkrets03012005,west
ward030103,grunnkrets03012006,west
ward030103,grunnkrets03012009,west
ward030103,grunnkrets03012010,west
ward030103,grunnkrets03012011,west
ward030103,grunnkrets03012012,west
ward030103,grunnkrets03012102,west
ward030104,grunnkrets03010201,west
ward030104,grunnkrets03010202,west
ward030104,grunnkrets03010212,west
ward030104,grunnkrets03010213,west
ward030104,grunnkrets03010204,west
ward030104,grunnkrets03010205,west
ward030104,grunnkrets03010206,west
ward030104,grunnkrets03010208,west
ward030104,grunnkrets03010209,west
ward030104,grunnkrets03011201,west
ward030104,grunnkrets03011202,west
ward030104,grunnkrets03011203,west
ward030104,grunnkrets03011204,west
ward030104,grunnkrets03011205,west
ward030104,grunnkrets03011206,west
ward030104,grunnkrets03011207,west
ward030104,grunnkrets03011208,west
ward030104,grunnkrets03011210,west
ward030104,grunnkrets03011211,west
ward030104,grunnkrets03011301,west
ward030104,grunnkrets03011302,west
ward030104,grunnkrets03011303,west
ward030104,grunnkrets03011304,west
ward030104,grunnkrets03011401,west
