"";"compartment_ibm";"value"
"1";"relative_reproduction_number_0";1.07556144043101
"2";"relative_reproduction_number_1";0.881026983356964
"3";"relative_reproduction_number_10";0.857337775180011
"4";"relative_reproduction_number_100";0.981421341839408
"5";"relative_reproduction_number_101";1.0163305874328
"6";"relative_reproduction_number_102";0.941677351398108
"7";"relative_reproduction_number_103";1.01838714573489
"8";"relative_reproduction_number_104";1.01793754368398
"9";"relative_reproduction_number_105";0.988050557981934
"10";"relative_reproduction_number_106";1.01870811761907
"11";"relative_reproduction_number_107";1.04879458379471
"12";"relative_reproduction_number_108";1.01781172122868
"13";"relative_reproduction_number_109";0.99236835395077
"14";"relative_reproduction_number_11";0.893816322451701
"15";"relative_reproduction_number_110";1.0091558164349
"16";"relative_reproduction_number_111";1.03980661668218
"17";"relative_reproduction_number_112";1.02108762737039
"18";"relative_reproduction_number_113";0.975060215447453
"19";"relative_reproduction_number_114";1.08517880378508
"20";"relative_reproduction_number_115";1.06056047608299
"21";"relative_reproduction_number_116";1.09906905072526
"22";"relative_reproduction_number_117";1.07937581414245
"23";"relative_reproduction_number_118";1.04478681410059
"24";"relative_reproduction_number_119";1.03855296384747
"25";"relative_reproduction_number_12";0.94139968785875
"26";"relative_reproduction_number_120";1.08036810703345
"27";"relative_reproduction_number_121";1.01782440325583
"28";"relative_reproduction_number_122";1.02895079216786
"29";"relative_reproduction_number_123";1.03534326596955
"30";"relative_reproduction_number_124";0.981248850480017
"31";"relative_reproduction_number_125";0.966400711246317
"32";"relative_reproduction_number_126";0.933559835442952
"33";"relative_reproduction_number_127";0.858549763892219
"34";"relative_reproduction_number_128";0.977441490737039
"35";"relative_reproduction_number_129";0.947838491587885
"36";"relative_reproduction_number_13";0.932275660891871
"37";"relative_reproduction_number_130";0.900869013475097
"38";"relative_reproduction_number_131";0.977754745517256
"39";"relative_reproduction_number_132";0.973707295499128
"40";"relative_reproduction_number_133";0.972402729203506
"41";"relative_reproduction_number_134";0.955455263734135
"42";"relative_reproduction_number_135";0.982085023506277
"43";"relative_reproduction_number_136";1.04579818231805
"44";"relative_reproduction_number_137";0.947467389978474
"45";"relative_reproduction_number_138";0.885841017652198
"46";"relative_reproduction_number_139";0.809879089631555
"47";"relative_reproduction_number_14";0.832247845890813
"48";"relative_reproduction_number_140";0.96494115436254
"49";"relative_reproduction_number_141";0.983934817731091
"50";"relative_reproduction_number_142";0.953721016960942
"51";"relative_reproduction_number_143";0.960001227438157
"52";"relative_reproduction_number_144";0.942622649886919
"53";"relative_reproduction_number_145";0.92718050406228
"54";"relative_reproduction_number_146";0.9280012859989
"55";"relative_reproduction_number_147";0.950121195995927
"56";"relative_reproduction_number_148";0.928434442001108
"57";"relative_reproduction_number_149";0.918858249927269
"58";"relative_reproduction_number_15";0.916251017517608
"59";"relative_reproduction_number_150";0.953332063644919
"60";"relative_reproduction_number_151";0.972576790150449
"61";"relative_reproduction_number_152";0.945730354273632
"62";"relative_reproduction_number_153";0.962744928099243
"63";"relative_reproduction_number_154";1.01937549167829
"64";"relative_reproduction_number_155";0.948198022824604
"65";"relative_reproduction_number_156";0.972448713147287
"66";"relative_reproduction_number_157";0.914543029170038
"67";"relative_reproduction_number_158";0.813776785206224
"68";"relative_reproduction_number_159";0.797089136137049
"69";"relative_reproduction_number_16";0.765164063651554
"70";"relative_reproduction_number_160";0.958850816170533
"71";"relative_reproduction_number_161";0.800147332126641
"72";"relative_reproduction_number_162";0.698949996061006
"73";"relative_reproduction_number_163";0.812260690782609
"74";"relative_reproduction_number_164";0.803510255530765
"75";"relative_reproduction_number_165";0.757003793702927
"76";"relative_reproduction_number_166";0.967911807582353
"77";"relative_reproduction_number_167";0.910326593369955
"78";"relative_reproduction_number_168";0.857947707542942
"79";"relative_reproduction_number_169";0.925203671003013
"80";"relative_reproduction_number_17";0.708540776334336
"81";"relative_reproduction_number_170";0.937753763570379
"82";"relative_reproduction_number_171";1.0172357965668
"83";"relative_reproduction_number_172";0.993586713900875
"84";"relative_reproduction_number_173";1.02505562878415
"85";"relative_reproduction_number_174";0.924471710442126
"86";"relative_reproduction_number_175";0.893400704890942
"87";"relative_reproduction_number_176";0.870049893406937
"88";"relative_reproduction_number_177";0.903373837251356
"89";"relative_reproduction_number_178";0.912501906127263
"90";"relative_reproduction_number_179";0.900263867368302
"91";"relative_reproduction_number_18";0.880088905137264
"92";"relative_reproduction_number_180";0.881769525323906
"93";"relative_reproduction_number_181";0.932247507768849
"94";"relative_reproduction_number_182";0.875733653089365
"95";"relative_reproduction_number_183";0.855832365076281
"96";"relative_reproduction_number_184";0.789810853778278
"97";"relative_reproduction_number_185";0.974093877947764
"98";"relative_reproduction_number_186";0.929675284634354
"99";"relative_reproduction_number_187";0.891508013496799
"100";"relative_reproduction_number_188";0.950553719483998
"101";"relative_reproduction_number_189";0.959771668821151
"102";"relative_reproduction_number_19";0.899327002130128
"103";"relative_reproduction_number_190";0.9951609093116
"104";"relative_reproduction_number_191";0.969787589736246
"105";"relative_reproduction_number_192";0.907517392820493
"106";"relative_reproduction_number_193";0.946091553259744
"107";"relative_reproduction_number_194";0.995390497218266
"108";"relative_reproduction_number_195";0.809124662922863
"109";"relative_reproduction_number_196";0.981612768717659
"110";"relative_reproduction_number_197";0.974196572560322
"111";"relative_reproduction_number_198";0.919416758380562
"112";"relative_reproduction_number_199";0.85993295545922
"113";"relative_reproduction_number_2";0.964755464883101
"114";"relative_reproduction_number_20";0.951971529781019
"115";"relative_reproduction_number_200";0.892071874718838
"116";"relative_reproduction_number_201";0.840483827120497
"117";"relative_reproduction_number_202";0.712679971975837
"118";"relative_reproduction_number_203";0.816092977308471
"119";"relative_reproduction_number_204";0.884055406595708
"120";"relative_reproduction_number_205";0.815299717939062
"121";"relative_reproduction_number_206";0.752468578926315
"122";"relative_reproduction_number_207";0.714765081526755
"123";"relative_reproduction_number_208";0.856951612357316
"124";"relative_reproduction_number_209";0.880566484898316
"125";"relative_reproduction_number_21";0.915625235832537
"126";"relative_reproduction_number_210";0.920672170566383
"127";"relative_reproduction_number_211";0.723565696002299
"128";"relative_reproduction_number_212";0.710461844111224
"129";"relative_reproduction_number_213";0.873675444202608
"130";"relative_reproduction_number_214";0.947880503333311
"131";"relative_reproduction_number_215";0.924840364205845
"132";"relative_reproduction_number_216";0.979989004130567
"133";"relative_reproduction_number_217";0.500653503159531
"134";"relative_reproduction_number_218";0.885487461661714
"135";"relative_reproduction_number_219";0.87358386168188
"136";"relative_reproduction_number_22";0.917066824252445
"137";"relative_reproduction_number_220";0.846760475457435
"138";"relative_reproduction_number_221";0.819222740580198
"139";"relative_reproduction_number_222";0.843450888651772
"140";"relative_reproduction_number_223";0.894346261689752
"141";"relative_reproduction_number_224";0.764522833958351
"142";"relative_reproduction_number_225";0.93437726483557
"143";"relative_reproduction_number_226";0.892904676005525
"144";"relative_reproduction_number_227";0.883687068679641
"145";"relative_reproduction_number_228";0.866679462711182
"146";"relative_reproduction_number_229";0.919233333237408
"147";"relative_reproduction_number_23";0.944112207147227
"148";"relative_reproduction_number_230";0.843652993573503
"149";"relative_reproduction_number_231";0.922822003951559
"150";"relative_reproduction_number_232";0.952088985787734
"151";"relative_reproduction_number_233";0.883393078025407
"152";"relative_reproduction_number_234";0.825148155373818
"153";"relative_reproduction_number_235";0.718202473068861
"154";"relative_reproduction_number_236";0.99505914844173
"155";"relative_reproduction_number_237";0.809645907542423
"156";"relative_reproduction_number_238";0.958727509166432
"157";"relative_reproduction_number_239";0.92234390814059
"158";"relative_reproduction_number_24";0.836830329497943
"159";"relative_reproduction_number_240";0.699992949313011
"160";"relative_reproduction_number_241";0.944589914922933
"161";"relative_reproduction_number_242";0.93328526146933
"162";"relative_reproduction_number_243";0.842772925162348
"163";"relative_reproduction_number_244";0.758122670389993
"164";"relative_reproduction_number_245";0.831686974652207
"165";"relative_reproduction_number_246";0.85748441598852
"166";"relative_reproduction_number_247";1.06999175259665
"167";"relative_reproduction_number_248";0.897203127411632
"168";"relative_reproduction_number_249";0.947431614446908
"169";"relative_reproduction_number_25";0.794028368047144
"170";"relative_reproduction_number_250";0.85664591936371
"171";"relative_reproduction_number_251";0.843748408044263
"172";"relative_reproduction_number_252";0.895731765778131
"173";"relative_reproduction_number_253";0.947147929835485
"174";"relative_reproduction_number_254";0.950272483367974
"175";"relative_reproduction_number_255";0.940697097759436
"176";"relative_reproduction_number_256";0.893515070419238
"177";"relative_reproduction_number_257";0.903749208455527
"178";"relative_reproduction_number_258";0.800096917404162
"179";"relative_reproduction_number_259";0.90618070463365
"180";"relative_reproduction_number_26";0.804721704841817
"181";"relative_reproduction_number_260";0.923682534465378
"182";"relative_reproduction_number_261";0.862596035687627
"183";"relative_reproduction_number_262";0.892814033323451
"184";"relative_reproduction_number_263";0.910815361249981
"185";"relative_reproduction_number_264";1.05000702866936
"186";"relative_reproduction_number_265";0.836916111475904
"187";"relative_reproduction_number_266";0.884861949738227
"188";"relative_reproduction_number_267";0.825538392053246
"189";"relative_reproduction_number_268";0.799683542768877
"190";"relative_reproduction_number_269";0.807100050346284
"191";"relative_reproduction_number_27";0.881991119621961
"192";"relative_reproduction_number_270";0.685554675143136
"193";"relative_reproduction_number_271";0.741811245339275
"194";"relative_reproduction_number_272";0.897668498674784
"195";"relative_reproduction_number_273";0.665788424865812
"196";"relative_reproduction_number_274";0.762031345400451
"197";"relative_reproduction_number_275";0.775119144365845
"198";"relative_reproduction_number_276";0.978264286546791
"199";"relative_reproduction_number_277";0.804701769980435
"200";"relative_reproduction_number_278";0.829638771082143
"201";"relative_reproduction_number_279";0.906154491242461
"202";"relative_reproduction_number_28";0.96282529347691
"203";"relative_reproduction_number_280";0.818901580463004
"204";"relative_reproduction_number_281";0.808625116568746
"205";"relative_reproduction_number_282";0.85452514854827
"206";"relative_reproduction_number_283";0.909350158411555
"207";"relative_reproduction_number_284";0.857156154314125
"208";"relative_reproduction_number_285";0.917055843582678
"209";"relative_reproduction_number_286";0.481574980135688
"210";"relative_reproduction_number_287";0.776357483977375
"211";"relative_reproduction_number_288";0.920609747673813
"212";"relative_reproduction_number_289";0.739310303760533
"213";"relative_reproduction_number_29";0.636938868360863
"214";"relative_reproduction_number_290";0.736095669576212
"215";"relative_reproduction_number_291";0.837773214705799
"216";"relative_reproduction_number_292";0.757081893861324
"217";"relative_reproduction_number_293";0.871681643141907
"218";"relative_reproduction_number_294";0.83003112655132
"219";"relative_reproduction_number_295";0.934077448162398
"220";"relative_reproduction_number_296";0.965638729156177
"221";"relative_reproduction_number_297";0.858138797553617
"222";"relative_reproduction_number_298";0.913755680954175
"223";"relative_reproduction_number_299";0.760047747554624
"224";"relative_reproduction_number_3";1.00619849942026
"225";"relative_reproduction_number_30";0.928270285790838
"226";"relative_reproduction_number_300";0.877561460474575
"227";"relative_reproduction_number_301";0.884438528420448
"228";"relative_reproduction_number_302";0.833096932654153
"229";"relative_reproduction_number_303";0.957590065858974
"230";"relative_reproduction_number_304";0.910658021248705
"231";"relative_reproduction_number_305";0.854909478285909
"232";"relative_reproduction_number_306";0.891438223288239
"233";"relative_reproduction_number_307";0.869346805014276
"234";"relative_reproduction_number_308";0.959318274602539
"235";"relative_reproduction_number_309";0.647136461957353
"236";"relative_reproduction_number_31";0.808387095346696
"237";"relative_reproduction_number_310";0.725224634385566
"238";"relative_reproduction_number_311";1.00906200556755
"239";"relative_reproduction_number_312";0.767941196447593
"240";"relative_reproduction_number_313";0.744558989950848
"241";"relative_reproduction_number_314";0.687110157679852
"242";"relative_reproduction_number_315";0.71677939617121
"243";"relative_reproduction_number_316";0.590676053687621
"244";"relative_reproduction_number_317";0.882246302115747
"245";"relative_reproduction_number_318";0.889166273668439
"246";"relative_reproduction_number_319";0.721210529104919
"247";"relative_reproduction_number_32";0.862072621898949
"248";"relative_reproduction_number_320";0.832211403653093
"249";"relative_reproduction_number_321";0.809449429713329
"250";"relative_reproduction_number_322";0.868314233169946
"251";"relative_reproduction_number_323";0.920250670063446
"252";"relative_reproduction_number_324";0.76326556032785
"253";"relative_reproduction_number_325";0.943093461639525
"254";"relative_reproduction_number_326";0.891027729345914
"255";"relative_reproduction_number_327";0.880181707595734
"256";"relative_reproduction_number_328";0.885185217204042
"257";"relative_reproduction_number_329";0.803728680680675
"258";"relative_reproduction_number_33";0.815353563070171
"259";"relative_reproduction_number_330";0.560132089482874
"260";"relative_reproduction_number_331";0.788567549498305
"261";"relative_reproduction_number_332";0.832444358940243
"262";"relative_reproduction_number_333";0.68486453865346
"263";"relative_reproduction_number_334";0.882325139166045
"264";"relative_reproduction_number_335";0.852534767218106
"265";"relative_reproduction_number_336";0.809005012749779
"266";"relative_reproduction_number_337";0.874072575012571
"267";"relative_reproduction_number_338";0.579156743489759
"268";"relative_reproduction_number_339";0.602878422399887
"269";"relative_reproduction_number_34";0.43632138887528
"270";"relative_reproduction_number_340";0.445916244302882
"271";"relative_reproduction_number_341";0.847373486309618
"272";"relative_reproduction_number_342";0.656035983256306
"273";"relative_reproduction_number_343";0.897191328714427
"274";"relative_reproduction_number_344";0.923958710390352
"275";"relative_reproduction_number_345";0.949118653566259
"276";"relative_reproduction_number_346";0.661000579718757
"277";"relative_reproduction_number_347";0.896623174306077
"278";"relative_reproduction_number_348";0.647037897244426
"279";"relative_reproduction_number_349";0.834900363880888
"280";"relative_reproduction_number_35";0.96354795156694
"281";"relative_reproduction_number_350";0.829114691905902
"282";"relative_reproduction_number_351";0.84535973912771
"283";"relative_reproduction_number_352";0.722255829720981
"284";"relative_reproduction_number_353";0.853139302662963
"285";"relative_reproduction_number_354";0.87500864262514
"286";"relative_reproduction_number_355";0.643056341955451
"287";"relative_reproduction_number_36";0.776581929883087
"288";"relative_reproduction_number_37";0.99279039231547
"289";"relative_reproduction_number_38";0.805106851576361
"290";"relative_reproduction_number_39";0.75220643700046
"291";"relative_reproduction_number_4";0.888734273557006
"292";"relative_reproduction_number_40";0.836135190784814
"293";"relative_reproduction_number_41";0.82358378046631
"294";"relative_reproduction_number_42";0.594830156939063
"295";"relative_reproduction_number_43";0.766574982449131
"296";"relative_reproduction_number_44";0.731122363372746
"297";"relative_reproduction_number_45";0.817806914545185
"298";"relative_reproduction_number_46";0.875020034267906
"299";"relative_reproduction_number_47";0.848315489734321
"300";"relative_reproduction_number_48";0.986659095361566
"301";"relative_reproduction_number_49";0.765441422599214
"302";"relative_reproduction_number_5";0.823480110740986
"303";"relative_reproduction_number_50";0.898591894008168
"304";"relative_reproduction_number_51";0.586389924193323
"305";"relative_reproduction_number_52";0.787486946629402
"306";"relative_reproduction_number_53";0.861878684506824
"307";"relative_reproduction_number_54";0.860949885909599
"308";"relative_reproduction_number_55";0.913386104339262
"309";"relative_reproduction_number_56";0.884357554535567
"310";"relative_reproduction_number_57";0.896819112665779
"311";"relative_reproduction_number_58";0.633446965724211
"312";"relative_reproduction_number_59";0.8110563716107
"313";"relative_reproduction_number_6";0.806933641153555
"314";"relative_reproduction_number_60";0.64188774467398
"315";"relative_reproduction_number_61";0.868257157397081
"316";"relative_reproduction_number_62";0.747914660186181
"317";"relative_reproduction_number_63";0.924854707922006
"318";"relative_reproduction_number_64";0.774376059208938
"319";"relative_reproduction_number_65";0.631387718932713
"320";"relative_reproduction_number_66";0.905288046239249
"321";"relative_reproduction_number_67";0.841151963836884
"322";"relative_reproduction_number_68";0.952594579971257
"323";"relative_reproduction_number_69";0.96794442888154
"324";"relative_reproduction_number_7";0.886529654877234
