"ibmdata.mun_ID";"fhidata.municip_code";"fhidata.municip_name";"prior_N";"prior_A";"prior_AB"
1;"municip0301";"Oslo";1;1;1
2;"municip1101";"Eigersund";-1;-1;-1
3;"municip1103";"Stavanger";0;0;0
4;"municip1106";"Haugesund";-1;-1;-1
5;"municip1108";"Sandnes";0;0;0
6;"municip1111";"Sokndal";-1;-1;-1
7;"municip1112";"Lund";-1;-1;-1
8;"municip1114";"Bjerkreim";-1;-1;-1
9;"municip1119";"Hå";-1;-1;-1
10;"municip1120";"Klepp";-1;-1;-1
11;"municip1121";"Time";-1;-1;-1
12;"municip1122";"Gjesdal";-1;-1;-1
13;"municip1124";"Sola";-1;-1;-1
14;"municip1127";"Randaberg";-1;-1;-1
15;"municip1130";"Strand";-1;-1;-1
16;"municip1133";"Hjelmeland";-1;-1;-1
17;"municip1134";"Suldal";-1;-1;-1
18;"municip1135";"Sauda";-1;-1;-1
19;"municip1144";"Kvitsøy";-1;-1;-1
20;"municip1145";"Bokn";-1;-1;-1
21;"municip1146";"Tysvær";-1;-1;-1
22;"municip1149";"Karmøy";-1;-1;-1
23;"municip1151";"Utsira";-1;-1;-1
24;"municip1160";"Vindafjord";-1;-1;-1
25;"municip1505";"Kristiansund";-1;-1;-1
26;"municip1506";"Molde";-1;-1;-1
27;"municip1507";"Ålesund";-1;-1;-1
28;"municip1511";"Vanylven";-1;-1;-1
29;"municip1514";"Sande";-1;-1;-1
30;"municip1515";"Herøy";-1;-1;-1
31;"municip1516";"Ulstein";-1;-1;-1
32;"municip1517";"Hareid";-1;-1;-1
33;"municip1520";"Ørsta";-1;-1;-1
34;"municip1525";"Stranda";-1;-1;-1
35;"municip1528";"Sykkylven";-1;-1;-1
36;"municip1531";"Sula";-1;-1;-1
37;"municip1532";"Giske";-1;-1;-1
38;"municip1535";"Vestnes";-1;-1;-1
39;"municip1539";"Rauma";-1;-1;-1
40;"municip1547";"Aukra";-1;-1;-1
41;"municip1554";"Averøy";-1;-1;-1
42;"municip1557";"Gjemnes";-1;-1;-1
43;"municip1560";"Tingvoll";-1;-1;-1
44;"municip1563";"Sunndal";-1;-1;-1
45;"municip1566";"Surnadal";-1;-1;-1
46;"municip1573";"Smøla";-1;-1;-1
47;"municip1576";"Aure";-1;-1;-1
48;"municip1577";"Volda";-1;-1;-1
49;"municip1578";"Fjord";-1;-1;-1
50;"municip1579";"Hustadvika";-1;-1;-1
51;"municip1804";"Bodø";-1;-1;-1
52;"municip1806";"Narvik";-1;-1;-1
53;"municip1811";"Bindal";-1;-1;-1
54;"municip1812";"Sømna";-1;-1;-1
55;"municip1813";"Brønnøy";-1;-1;-1
56;"municip1815";"Vega";-1;-1;-1
57;"municip1816";"Vevelstad";-1;-1;-1
58;"municip1818";"Herøy";-1;-1;-1
59;"municip1820";"Alstahaug";-1;-1;-1
60;"municip1822";"Leirfjord";-1;-1;-1
61;"municip1824";"Vefsn";-1;-1;-1
62;"municip1825";"Grane";-1;-1;-1
63;"municip1826";"Hattfjelldal";-1;-1;-1
64;"municip1827";"Dønna";-1;-1;-1
65;"municip1828";"Nesna";-1;-1;-1
66;"municip1832";"Hemnes";-1;-1;-1
67;"municip1833";"Rana";-1;-1;-1
68;"municip1834";"Lurøy";-1;-1;-1
69;"municip1835";"Træna";-1;-1;-1
70;"municip1836";"Rødøy";-1;-1;-1
71;"municip1837";"Meløy";-1;-1;-1
72;"municip1838";"Gildeskål";-1;-1;-1
73;"municip1839";"Beiarn";-1;-1;-1
74;"municip1840";"Saltdal";-1;-1;-1
75;"municip1841";"Fauske";-1;-1;-1
76;"municip1845";"Sørfold";-1;-1;-1
77;"municip1848";"Steigen";-1;-1;-1
78;"municip1851";"Lødingen";-1;-1;-1
79;"municip1853";"Evenes";-1;-1;-1
80;"municip1856";"Røst";-1;-1;-1
81;"municip1857";"Værøy";-1;-1;-1
82;"municip1859";"Flakstad";-1;-1;-1
83;"municip1860";"Vestvågøy";-1;-1;-1
84;"municip1865";"Vågan";-1;-1;-1
85;"municip1866";"Hadsel";-1;-1;-1
86;"municip1867";"Bø";-1;-1;-1
87;"municip1868";"Øksnes";-1;-1;-1
88;"municip1870";"Sortland";-1;-1;-1
89;"municip1871";"Andøy";-1;-1;-1
90;"municip1874";"Moskenes";-1;-1;-1
91;"municip1875";"Hamarøy";-1;-1;-1
92;"municip3001";"Halden";0;0;1
93;"municip3002";"Moss";1;1;1
94;"municip3003";"Sarpsborg";1;1;1
95;"municip3004";"Fredrikstad";1;1;1
96;"municip3005";"Drammen";0;0;1
97;"municip3006";"Kongsberg";-1;-1;-1
98;"municip3007";"Ringerike";0;0;0
99;"municip3011";"Hvaler";-1;-1;-1
100;"municip3012";"Aremark";-1;-1;-1
