"";"date";"vac1";"vac2";"vac3"
"1";2021-01-01;17;0;0
"2";2021-01-02;7;0;0
"3";2021-01-03;34;0;0
"4";2021-01-04;23;0;0
"5";2021-01-05;1979;0;0
"6";2021-01-06;5378;0;0
"7";2021-01-07;3949;0;0
"8";2021-01-08;1040;0;0
"9";2021-01-09;141;0;0
"10";2021-01-10;100;0;0
"11";2021-01-11;466;0;0
"12";2021-01-12;3448;0;0
"13";2021-01-13;7515;0;0
"14";2021-01-14;6990;0;0
"15";2021-01-15;4130;0;0
"16";2021-01-16;735;0;0
"17";2021-01-17;361;0;0
"18";2021-01-18;1247;0;0
"19";2021-01-19;4097;0;0
"20";2021-01-20;8682;0;0
"21";2021-01-21;7627;0;0
"22";2021-01-22;3165;0;0
"23";2021-01-23;375;0;0
"24";2021-01-24;68;0;0
"25";2021-01-25;563;0;0
"26";2021-01-26;2076;0;0
"27";2021-01-27;10303;0;0
"28";2021-01-28;9814;0;0
"29";2021-01-29;3566;0;0
"30";2021-01-30;185;0;0
"31";2021-01-31;165;0;0
"32";2021-02-01;211;0;0
"33";2021-02-02;6001;0;0
"34";2021-02-03;23566;0;0
"35";2021-02-04;24338;0;0
"36";2021-02-05;10166;0;0
"37";2021-02-06;800;0;0
"38";2021-02-07;328;0;0
"39";2021-02-08;101;0;0
"40";2021-02-09;5350;0;0
"41";2021-02-10;21491;0;0
"42";2021-02-11;19366;0;0
"43";2021-02-12;7430;0;0
"44";2021-02-13;875;0;0
"45";2021-02-14;116;0;0
"46";2021-02-15;835;0;0
"47";2021-02-16;5823;0;0
"48";2021-02-17;19853;0;0
"49";2021-02-18;17057;0;0
"50";2021-02-19;10073;0;0
"51";2021-02-20;521;0;0
"52";2021-02-21;73;0;0
"53";2021-02-22;2609;0;0
"54";2021-02-23;5922;0;0
"55";2021-02-24;10916;0;0
"56";2021-02-25;10988;0;0
"57";2021-02-26;8320;0;0
"58";2021-02-27;464;0;0
"59";2021-02-28;537;0;0
"60";2021-03-01;6107;0;0
"61";2021-03-02;10521;0;0
"62";2021-03-03;17456;0;0
"63";2021-03-04;15817;0;0
"64";2021-03-05;11742;0;0
"65";2021-03-06;453;0;0
"66";2021-03-07;147;0;0
"67";2021-03-08;5144;0;0
"68";2021-03-09;12413;0;0
"69";2021-03-10;20419;0;0
"70";2021-03-11;11536;0;0
"71";2021-03-12;2122;0;0
"72";2021-03-13;94;0;0
"73";2021-03-14;38;0;0
"74";2021-03-15;154;0;0
"75";2021-03-16;5558;0;0
"76";2021-03-17;22308;0;0
"77";2021-03-18;20160;0;0
