beta	beta_cpt1	beta_cpt2	sus1	sus2	sus3	sus4	sus5	sus6	sus7	sus8	sus9	R_merler	R_gt	R_mean	R0	lse	lse_log	lse_nlog	lse_inv
0.1954	0.5345	0.305	0.729	0.957	0.8731	0.6813	0.4468	0.8151	0.3499	0.2918	0.2745	1.42868100580302	1.44802495679516	1.29357722919513	0.601403018844304	8146	9.00528228820836	-9.00528228820836	0.000122759636631476
0.1013	0.6054	0.3393	0.9213	0.7343	0.8204	0.6871	0.5659	0.9045	0.3871	0.3397	0.3384	1.69212533364323	1.77095617675022	1.46449152031385	0.301512519562043	9052	9.11074100675343	-9.11074100675343	0.000110472823685373
0.1642	0.5186	0.3555	0.7023	0.814	0.813	0.7053	0.5723	0.9706	0.4365	0.3661	0.1958	1.45210325255534	1.47518476712228	1.31649011237292	0.501210317006223	9280	9.13561682578025	-9.13561682578025	0.000107758620689655
0.1266	0.6187	0.2956	0.9863	0.952	0.7859	0.6535	0.4535	0.8844	0.4236	0.2981	0.2272	1.56738494369443	1.61320857365839	1.34325486923965	0.408400243743078	9440	9.15271125913955	-9.15271125913955	0.000105932203389831
0.17	0.5331	0.3185	0.9055	0.8282	0.7276	0.7663	0.5131	0.9363	0.3842	0.2784	0.2755	1.37430238441801	1.38609204261776	1.21286718004254	0.580754427634993	9804	9.190545744648	-9.190545744648	0.000101999184006528
0.2022	0.5322	0.341	0.9914	0.9134	0.7484	0.4906	0.4204	0.7957	0.3503	0.229	0.3613	1.47482541026869	1.50181456885518	1.33420286086781	0.597320344985566	10014	9.21173939288989	-9.21173939288989	9.98601957259836e-05
0.131	0.6584	0.3458	0.8912	0.7455	0.8853	0.5659	0.4079	0.7812	0.3809	0.2525	0.3349	1.61360101621915	1.67061621036791	1.37782013172856	0.403015647243956	10242	9.2342521920225	-9.2342521920225	9.76371802382347e-05
0.1689	0.5309	0.275	0.7894	0.9106	0.7149	0.8948	0.646	0.9135	0.3924	0.2764	0.2799	1.45147080490908	1.47444753508235	1.31191065758049	0.526022931783449	10248	9.23483784357657	-9.23483784357657	9.75800156128025e-05
0.1688	0.5751	0.3165	0.9545	0.8632	0.7673	0.5536	0.431	0.9759	0.3783	0.3287	0.1526	1.47408007911587	1.50093663258406	1.27141576329823	0.496282949157063	10380	9.24763615671988	-9.24763615671988	9.63391136801541e-05
0.1919	0.4959	0.2963	0.8072	0.8487	0.9607	0.7122	0.5245	0.9509	0.3487	0.3659	0.243	1.39256542267544	1.40671838411093	1.2572855808269	0.614986114383809	10596	9.26823185039196	-9.26823185039196	9.43752359380898e-05
