beta	beta_cpt1	beta_cpt2	sus1	sus2	sus3	sus4	sus5	sus6	sus7	sus8	sus9	R_merler	R_gt	R_mean	R0	lse	lse_log	lse_nlog	lse_inv
0.228	0.5307	0.3556	0.9569	0.7888	0.7481	0.7424	0.5485	0.8927	0.5022	0.3429	0.3396	1.42445155845944	1.44315184122795	1.3364610612193	0.672839798092796	8328	9.02737861029481	-9.02737861029481	0.000120076849183477
0.2151	0.525	0.3154	0.8833	0.9186	0.7646	0.8378	0.5838	0.9468	0.5635	0.3092	0.2522	1.44089578793415	1.46215225135627	1.31779886118282	0.642152368298665	8400	9.03598698483141	-9.03598698483141	0.000119047619047619
0.2421	0.5678	0.3671	0.7867	0.7397	0.887	0.635	0.5743	0.8328	0.3807	0.3947	0.4419	1.37851161472941	1.39083047204837	1.2797315260581	0.692502008589585	8836	9.08658956454001	-9.08658956454001	0.000113173381620643
0.2474	0.5682	0.3703	0.7319	0.7313	0.7211	0.7936	0.5376	0.8241	0.4682	0.3842	0.2397	1.39161934145695	1.40564557940074	1.29533387970333	0.738267841389912	9076	9.11338884589973	-9.11338884589973	0.000110180696342001
0.1301	0.6205	0.3332	0.9314	0.894	0.8437	0.7799	0.588	0.9472	0.4893	0.4184	0.3363	1.72667057753188	1.81623635822047	1.5613011672489	0.461456479464957	9118	9.11800576077339	-9.11800576077339	0.000109673173941654
0.1578	0.5942	0.3142	0.8549	0.9116	0.7746	0.8743	0.5752	0.9898	0.555	0.3845	0.2948	1.61853056143827	1.67681094344132	1.5053721588284	0.53131402884229	9486	9.15757230643753	-9.15757230643753	0.000105418511490618
0.2131	0.4876	0.3021	0.7851	0.7011	0.949	0.9347	0.7374	0.9869	0.5349	0.3535	0.1382	1.40299111571797	1.41857176195403	1.32807732248221	0.721113338707387	9738	9.18379103674265	-9.18379103674265	0.000102690490860546
0.2232	0.5218	0.3725	0.7446	0.974	0.8325	0.5362	0.5709	0.9851	0.4897	0.4191	0.2108	1.40070535199866	1.41596808465466	1.30629310305179	0.670868482135476	9898	9.20008799551183	-9.20008799551183	0.000101030511214387
0.1823	0.5576	0.3356	0.7518	0.959	0.9416	0.6617	0.6049	0.9861	0.4686	0.3393	0.3684	1.52420473202836	1.56065397033977	1.42583980102647	0.602001512089059	10012	9.21153965255166	-9.21153965255166	9.98801438274071e-05
0.2482	0.6158	0.3875	0.7	0.7532	0.8669	0.5906	0.509	0.7111	0.4131	0.3624	0.2019	1.46157414406149	1.48625055001483	1.35374510245493	0.676826563969518	10258	9.23581316794921	-9.23581316794921	9.74848898420745e-05
