time	community	work	school	uni	house
1	137	38	10	1	205
2	250	60	18	4	397
3	380	91	24	8	598
4	544	137	32	10	802
5	702	187	46	19	1020
6	852	219	62	21	1232
7	1008	254	74	23	1406
8	1142	289	91	31	1577
9	1296	324	108	37	1744
10	1450	355	120	45	1905
11	1608	383	142	50	2056
12	1745	422	160	56	2187
13	1867	447	191	61	2305
14	1970	476	212	63	2438
15	2111	502	231	68	2576
16	2254	529	258	72	2701
17	2365	543	283	78	2829
18	2477	568	305	79	2958
19	2608	581	327	83	3085
20	2726	596	343	88	3189
21	2834	620	365	92	3326
22	2951	636	381	98	3418
23	3048	649	399	99	3540
24	3161	663	416	103	3645
25	3247	681	433	109	3787
26	3329	697	449	111	3895
27	3397	710	465	113	3986
28	3633	749	508	120	4197
29	3792	784	554	124	4396
30	3993	823	597	132	4573
31	4207	869	634	141	4768
32	4417	915	680	150	4966
33	4621	958	717	165	5176
34	4851	996	771	175	5378
35	5101	1036	828	185	5588
36	5341	1084	881	196	5821
37	5614	1142	954	207	6072
38	5895	1195	1028	220	6353
39	6195	1259	1091	226	6611
40	6515	1327	1164	239	6920
41	6878	1395	1229	250	7229
42	7225	1469	1296	262	7542
43	7628	1547	1384	277	7911
44	8004	1633	1468	297	8283
45	8428	1726	1547	313	8650
46	8965	1831	1639	324	9074
47	9368	1933	1764	349	9481
48	9839	2028	1891	360	9962
49	10424	2123	2000	377	10421
50	10993	2233	2127	394	10917
51	11604	2358	2278	413	11452
52	12229	2480	2399	440	12035
53	12850	2609	2533	457	12677
54	13517	2735	2696	490	13286
55	14259	2878	2882	524	13946
56	14999	3056	3058	562	14661
57	15800	3205	3250	589	15428
58	16708	3366	3431	620	16196
59	17586	3534	3640	648	16997
60	18447	3733	3871	691	17885
61	19339	3937	4086	743	18781
62	20371	4137	4323	781	19797
63	21524	4356	4600	826	20861
64	22622	4582	4883	876	21887
65	23807	4816	5175	931	22985
66	25009	5056	5494	988	24186
67	26419	5299	5792	1048	25433
68	27815	5572	6128	1110	26742
69	29304	5882	6465	1173	28128
70	30318	6078	6675	1221	29091
71	31402	6292	6908	1264	30138
72	32613	6541	7167	1308	31290
73	33821	6755	7424	1359	32455
74	35004	6967	7687	1418	33704
75	36198	7181	7938	1455	34914
76	37334	7430	8207	1507	36141
77	38497	7658	8470	1554	37349
78	39676	7901	8722	1594	38556
79	40904	8132	8962	1645	39724
80	42119	8384	9231	1678	40877
81	43248	8613	9475	1724	42136
82	44376	8827	9718	1760	43337
83	45526	9034	9966	1804	44479
84	46602	9269	10211	1857	45622
85	47708	9462	10435	1906	46769
86	48880	9679	10713	1951	47875
87	49937	9889	10948	2003	49017
88	51005	10119	11218	2052	50172
89	51993	10325	11445	2090	51330
90	53034	10548	11698	2143	52515
91	54049	10751	11920	2186	53696
92	55065	10964	12143	2228	54824
93	56081	11159	12377	2274	55966
94	56957	11367	12613	2311	57005
95	57969	11558	12830	2346	58065
96	58972	11774	13041	2392	59098
97	59956	11965	13282	2436	60135
98	60914	12141	13519	2477	61161
99	61758	12326	13770	2528	62131
100	62659	12509	13960	2571	63086
101	63528	12705	14143	2614	64090
102	64422	12876	14358	2644	65023
103	65314	13054	14544	2690	65987
104	66154	13199	14733	2723	66952
105	66951	13339	14939	2777	67875
106	67798	13497	15150	2806	68765
107	68559	13640	15358	2844	69657
108	69367	13803	15550	2893	70540
109	70089	13970	15732	2924	71400
110	70816	14129	15904	2962	72196
111	71567	14285	16063	2996	72957
112	72265	14450	16223	3028	73743
113	72954	14567	16386	3054	74493
114	73631	14701	16531	3077	75223
115	74232	14833	16671	3111	75940
116	74852	14946	16810	3137	76651
117	75467	15086	16972	3169	77356
118	76023	15188	17114	3200	78091
119	76572	15284	17255	3218	78765
120	77112	15389	17382	3242	79394
121	77625	15503	17518	3264	80024
122	78125	15606	17647	3285	80587
